timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:navbar-bottom
1612448790264,0.6409574468085106,0.8384845463609173,964,841,964,912,1504,1003,0,0,0,0,0,0,1
1612448790859,0.48936170212765956,0.7387836490528414,736,741,736,812,1504,1003,1,0,0,0,1,0,0
1612448790910,0.4441489361702128,0.6959122632103689,668,698,668,769,1504,1003,0,0,0,0,1,0,0
1612448791014,0.3470744680851064,0.6041874376869392,522,606,522,677,1504,1003,0,0,0,0,0,1,0
1612448791065,0.31981382978723405,0.5872382851445663,481,589,481,660,1504,1003,0,0,0,0,0,1,0
1612448791117,0.3025265957446808,0.5782652043868395,455,580,455,651,1504,1003,0,0,0,0,0,1,0
1612448791168,0.2765957446808511,0.5613160518444666,416,563,416,634,1504,1003,0,0,0,0,0,1,0
1612448791219,0.2613031914893617,0.5473579262213359,393,549,393,620,1504,1003,0,0,0,0,0,1,0
1612448791270,0.261968085106383,0.5473579262213359,394,549,394,620,1504,1003,0,0,0,0,0,1,0
1612448791336,0.261968085106383,0.5473579262213359,394,549,394,620,1504,1003,0,0,0,0,0,1,0
1612448791397,0.261968085106383,0.5473579262213359,394,549,394,620,1504,1003,0,0,0,0,0,1,0
1612448791457,0.261968085106383,0.5473579262213359,394,549,394,620,1504,1003,0,0,0,0,0,1,0
1612448791509,0.261968085106383,0.5473579262213359,394,549,394,620,1504,1003,0,0,0,0,0,1,0
1612448791569,0.261968085106383,0.5473579262213359,394,549,394,620,1504,1003,1,0,0,0,0,1,0
1612448791624,0.261968085106383,0.5473579262213359,394,549,394,620,1504,1003,0,0,0,0,0,1,0
1612448791677,0.26861702127659576,0.5503489531405783,404,552,404,623,1504,1003,0,0,0,0,0,1,0
1612448791732,0.34375,0.580259222333001,517,582,517,652,1504,1003,0,0,0,0,0,1,0
1612448791783,0.4095744680851064,0.6161515453639083,616,618,616,688,1504,1003,0,0,0,0,0,1,0
1612448791835,0.4920212765957447,0.6660019940179461,740,668,740,739,1504,1003,0,0,0,0,0,1,0
1612448791887,0.555186170212766,0.6889332003988036,835,691,835,762,1504,1003,0,0,0,0,0,1,0
1612448791938,0.6263297872340425,0.7098703888334995,942,712,942,783,1504,1003,0,0,0,0,1,0,0
1612448792041,0.6875,0.7278165503489531,1034,730,1034,801,1504,1003,0,0,0,0,1,0,0
1612448792092,0.6316489361702128,0.7337986041874377,950,736,950,807,1504,1003,0,0,0,0,1,0,0
1612448792145,0.5884308510638298,0.7547357926221336,885,757,885,828,1504,1003,0,0,0,1,0,0,0
1612448792197,0.555186170212766,0.7716849451645065,835,774,835,845,1504,1003,0,0,0,0,0,0,1
1612448792248,0.5518617021276596,0.7836490528414756,830,786,830,856,1504,1003,0,0,0,0,0,0,1
1612448792300,0.5492021276595744,0.7976071784646062,826,800,826,870,1504,1003,0,0,0,0,0,0,1
1612448792351,0.5438829787234043,0.8085742771684945,818,811,818,882,1504,1003,0,0,0,0,0,0,1
1612448792403,0.523936170212766,0.8085742771684945,788,811,788,882,1504,1003,0,0,0,0,0,0,1
1612448792454,0.5172872340425532,0.810568295114656,778,813,778,884,1504,1003,0,0,0,0,0,0,1
1612448792506,0.5172872340425532,0.810568295114656,778,813,778,884,1504,1003,0,0,0,0,0,0,1
1612448792560,0.5179521276595744,0.810568295114656,779,813,779,884,1504,1003,0,0,0,0,0,0,1
1612448792611,0.5186170212765957,0.810568295114656,780,813,780,884,1504,1003,0,0,0,0,0,0,1
1612448792662,0.5219414893617021,0.8095712861415753,785,812,785,883,1504,1003,0,0,0,0,0,0,1
1612448792714,0.5292553191489362,0.8075772681954138,796,810,796,880,1504,1003,0,0,0,0,0,0,1
1612448792765,0.557845744680851,0.7996011964107677,839,802,839,873,1504,1003,0,0,0,0,0,0,1
1612448792817,0.5678191489361702,0.7966101694915254,854,799,854,870,1504,1003,0,0,0,0,0,0,1
1612448792868,0.5704787234042553,0.7966101694915254,858,799,858,870,1504,1003,0,0,0,0,0,0,1
1612448792919,0.5704787234042553,0.7966101694915254,858,799,858,870,1504,1003,0,0,0,0,0,0,1
1612448792971,0.5711436170212766,0.7966101694915254,859,799,859,870,1504,1003,0,0,0,0,0,0,1
1612448793036,0.5711436170212766,0.7966101694915254,859,799,859,870,1504,1003,0,0,0,0,0,0,1
1612448793097,0.5711436170212766,0.7966101694915254,859,799,859,870,1504,1003,0,0,0,0,0,0,1
1612448793158,0.5711436170212766,0.7966101694915254,859,799,859,870,1504,1003,0,0,0,0,0,0,1
1612448793209,0.5711436170212766,0.7966101694915254,859,799,859,870,1504,1003,0,0,0,0,0,0,1
1612448793261,0.5711436170212766,0.7966101694915254,859,799,859,870,1504,1003,0,0,0,0,0,0,1
1612448851470,0.5691489361702128,0.8095712861415753,856,812,856,882,1504,1003,0,0,0,1,0,0,0
1612448851522,0.5691489361702128,0.8095712861415753,856,812,856,882,1504,1003,0,0,0,1,0,0,0
1612448851577,0.5691489361702128,0.8095712861415753,856,812,856,882,1504,1003,0,0,0,1,0,0,0
1612448851632,0.5691489361702128,0.8095712861415753,856,812,856,882,1504,1003,0,0,0,1,0,0,0
1612448851797,0.5691489361702128,0.8095712861415753,856,812,856,882,1504,1003,1,0,0,1,0,0,0
1612448851853,0.5691489361702128,0.8095712861415753,856,812,856,882,1504,1003,0,0,0,1,0,0,0
1612448854954,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,1
1612448855007,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,1
1612448855061,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,1
1612448855199,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,1,0,0,0,0,0,1
1612448855264,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,1
1612448855314,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,1
1612448854954,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,1
1612448855007,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,1
1612448855061,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,1
1612448855199,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,1,0,0,0,0,0,1
1612448855264,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,1
1612448855314,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,1
1612448857882,0.5651595744680851,0.8075772681954138,850,810,850,880,1504,1003,1,0,0,1,0,0,0
1612448857937,0.5651595744680851,0.8075772681954138,850,810,850,880,1504,1003,0,0,0,1,0,0,0
1612448857992,0.5651595744680851,0.8075772681954138,850,810,850,880,1504,1003,0,0,0,1,0,0,0
1612448858044,0.5651595744680851,0.8075772681954138,850,810,850,880,1504,1003,0,0,0,1,0,0,0
1612448858096,0.5651595744680851,0.8075772681954138,850,810,850,880,1504,1003,0,0,0,1,0,0,0
1612448858147,0.5651595744680851,0.8075772681954138,850,810,850,880,1504,1003,1,0,0,1,0,0,0
1612448858204,0.5651595744680851,0.8075772681954138,850,810,850,880,1504,1003,0,0,0,1,0,0,0
1612448858258,0.5651595744680851,0.8075772681954138,850,810,850,880,1504,1003,0,0,0,1,0,0,0
1612448858309,0.5651595744680851,0.8075772681954138,850,810,850,880,1504,1003,0,0,0,1,0,0,0
1612448858365,0.5651595744680851,0.8075772681954138,850,810,850,881,1504,1003,1,0,0,1,0,0,0
1612448859409,0.5757978723404256,0.7367896311066799,866,739,866,810,1504,1003,0,0,0,0,1,0,0
1612448859472,0.5757978723404256,0.7367896311066799,866,739,866,810,1504,1003,0,0,0,0,1,0,0
1612448859524,0.5757978723404256,0.7337986041874377,866,736,866,807,1504,1003,0,0,0,0,1,0,0
1612448859576,0.5757978723404256,0.7278165503489531,866,730,866,801,1504,1003,0,0,0,0,1,0,0
1612448859628,0.574468085106383,0.7178464606181456,864,720,864,791,1504,1003,0,0,0,0,1,0,0
1612448859679,0.5704787234042553,0.7068793619142573,858,709,858,780,1504,1003,0,0,0,0,1,0,0
1612448859731,0.5651595744680851,0.6929212362911267,850,695,850,766,1504,1003,0,0,0,0,0,1,0
1612448859783,0.555186170212766,0.6699900299102692,835,672,835,742,1504,1003,0,0,0,0,0,1,0
1612448859834,0.5531914893617021,0.6640079760717846,832,666,832,736,1504,1003,0,0,0,0,0,1,0
1612448859886,0.5531914893617021,0.6650049850448654,832,667,832,738,1504,1003,0,0,0,0,0,1,0
1612448859939,0.574468085106383,0.707876370887338,864,710,864,780,1504,1003,0,0,0,0,1,0,0
1612448859991,0.6003989361702128,0.7477567298105683,903,750,903,820,1504,1003,0,0,0,1,0,0,0
1612448860042,0.6150265957446809,0.773678963110668,925,776,925,846,1504,1003,0,0,0,0,0,0,1
1612448860094,0.6236702127659575,0.7976071784646062,938,800,938,871,1504,1003,0,0,0,0,0,0,1
1612448860146,0.620345744680851,0.8195413758723828,933,822,933,892,1504,1003,0,0,0,0,0,0,1
1612448860197,0.6156914893617021,0.8315054835493519,926,834,926,904,1504,1003,0,0,0,0,0,0,1
1612448860249,0.6123670212765957,0.8334995014955134,921,836,921,906,1504,1003,0,0,0,0,0,0,1
1612448860301,0.6103723404255319,0.8334995014955134,918,836,918,906,1504,1003,0,0,0,0,0,0,1
1612448860359,0.6083776595744681,0.8325024925224327,915,835,915,906,1504,1003,0,0,0,0,0,0,1
