timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448791950,0.26875,0.7411111111111112,387,667,984,824,1440,900,0,0,0,0,0,0,1
1612448792001,0.26875,0.7377777777777778,387,664,984,821,1440,900,0,0,0,0,0,0,1
1612448792054,0.28958333333333336,0.58,417,522,1014,679,1440,900,0,0,0,1,0,0,0
1612448792106,0.33819444444444446,0.29555555555555557,487,266,1084,423,1440,900,0,0,0,0,0,1,0
1612448792156,0.3506944444444444,0.24222222222222223,505,218,1102,375,1440,900,0,0,0,0,0,1,0
1612448792212,0.3506944444444444,0.24222222222222223,505,218,1102,375,1440,900,0,0,0,0,0,1,0
1612448792262,0.3506944444444444,0.24222222222222223,505,218,1102,375,1440,900,0,0,0,0,0,1,0
1612448792314,0.3506944444444444,0.24666666666666667,505,222,1102,379,1440,900,0,0,0,0,0,1,0
1612448792364,0.35,0.2511111111111111,504,226,1101,383,1440,900,0,0,0,0,0,1,0
1612448792416,0.34097222222222223,0.18777777777777777,491,169,1088,326,1440,900,0,0,0,0,0,1,0
1612448843594,0.18819444444444444,0.25,271,225,913,416,1440,900,0,0,0,0,0,1,0
1612448843647,0.1701388888888889,0.3188888888888889,245,287,887,478,1440,900,0,0,0,0,0,1,0
1612448843702,0.16805555555555557,0.3211111111111111,242,289,884,480,1440,900,0,0,0,0,0,1,0
1612448843754,0.16805555555555557,0.3211111111111111,242,289,884,480,1440,900,0,0,0,0,0,1,0
1612448843807,0.16805555555555557,0.3211111111111111,242,289,884,480,1440,900,0,0,0,0,0,1,0
1612448843857,0.17291666666666666,0.3422222222222222,249,308,891,499,1440,900,0,0,0,0,0,1,0
1612448843908,0.21875,0.54,315,486,957,677,1440,900,0,0,0,0,0,1,0
1612448843959,0.23472222222222222,0.6188888888888889,338,557,980,748,1440,900,0,0,0,0,0,0,1
1612448844015,0.23472222222222222,0.6188888888888889,338,557,980,748,1440,900,0,0,0,0,0,0,1
1612448844067,0.23472222222222222,0.6188888888888889,338,557,980,748,1440,900,0,0,0,0,0,0,1
1612448844121,0.23472222222222222,0.6188888888888889,338,557,980,748,1440,900,0,0,0,0,0,0,1
1612448844176,0.23472222222222222,0.6188888888888889,338,557,980,748,1440,900,0,0,0,0,0,0,1
1612448844227,0.2375,0.6188888888888889,342,557,984,748,1440,900,0,0,0,0,0,0,1
1612448844277,0.24583333333333332,0.6188888888888889,354,557,996,748,1440,900,0,0,0,0,0,0,1
1612448844328,0.24930555555555556,0.6177777777777778,359,556,1001,747,1440,900,0,0,0,0,0,0,1
1612448844380,0.25,0.6155555555555555,360,554,1002,745,1440,900,0,0,0,0,0,0,1
1612448844433,0.25,0.6155555555555555,360,554,1002,745,1440,900,0,0,0,0,0,0,1
1612448844484,0.25,0.6144444444444445,360,553,1002,744,1440,900,0,0,0,0,0,0,1
1612448843594,0.18819444444444444,0.25,271,225,913,416,1440,900,0,0,0,0,0,1,0
1612448843647,0.1701388888888889,0.3188888888888889,245,287,887,478,1440,900,0,0,0,0,0,1,0
1612448843702,0.16805555555555557,0.3211111111111111,242,289,884,480,1440,900,0,0,0,0,0,1,0
1612448843754,0.16805555555555557,0.3211111111111111,242,289,884,480,1440,900,0,0,0,0,0,1,0
1612448843807,0.16805555555555557,0.3211111111111111,242,289,884,480,1440,900,0,0,0,0,0,1,0
1612448843857,0.17291666666666666,0.3422222222222222,249,308,891,499,1440,900,0,0,0,0,0,1,0
1612448843908,0.21875,0.54,315,486,957,677,1440,900,0,0,0,0,0,1,0
1612448843959,0.23472222222222222,0.6188888888888889,338,557,980,748,1440,900,0,0,0,0,0,0,1
1612448844015,0.23472222222222222,0.6188888888888889,338,557,980,748,1440,900,0,0,0,0,0,0,1
1612448844067,0.23472222222222222,0.6188888888888889,338,557,980,748,1440,900,0,0,0,0,0,0,1
1612448844121,0.23472222222222222,0.6188888888888889,338,557,980,748,1440,900,0,0,0,0,0,0,1
1612448844176,0.23472222222222222,0.6188888888888889,338,557,980,748,1440,900,0,0,0,0,0,0,1
1612448844227,0.2375,0.6188888888888889,342,557,984,748,1440,900,0,0,0,0,0,0,1
1612448844277,0.24583333333333332,0.6188888888888889,354,557,996,748,1440,900,0,0,0,0,0,0,1
1612448844328,0.24930555555555556,0.6177777777777778,359,556,1001,747,1440,900,0,0,0,0,0,0,1
1612448844380,0.25,0.6155555555555555,360,554,1002,745,1440,900,0,0,0,0,0,0,1
1612448844433,0.25,0.6155555555555555,360,554,1002,745,1440,900,0,0,0,0,0,0,1
1612448844484,0.25,0.6144444444444445,360,553,1002,744,1440,900,0,0,0,0,0,0,1
1612448844535,0.25,0.6144444444444445,360,553,1002,744,1440,900,0,0,0,0,0,0,1
1612448851508,0.26180555555555557,0.6077777777777778,377,547,1019,738,1440,900,0,0,0,0,0,0,1
1612448851563,0.26180555555555557,0.6077777777777778,377,547,1019,738,1440,900,0,0,0,0,0,0,1
1612448851700,0.26180555555555557,0.6077777777777778,377,547,1019,738,1440,900,0,0,0,0,0,0,1
1612448851754,0.26180555555555557,0.6077777777777778,377,547,1019,738,1440,900,0,0,0,0,0,0,1
1612448851804,0.25833333333333336,0.6077777777777778,372,547,1014,738,1440,900,0,0,0,0,0,0,1
1612448851854,0.25069444444444444,0.6088888888888889,361,548,1003,739,1440,900,0,0,0,0,0,0,1
1612448851904,0.24791666666666667,0.61,357,549,999,740,1440,900,0,0,0,0,0,0,1
1612448851955,0.24444444444444444,0.6111111111111112,352,550,994,741,1440,900,0,0,0,0,0,0,1
1612448852008,0.24375,0.6111111111111112,351,550,993,741,1440,900,0,0,0,0,0,0,1
1612448852059,0.24375,0.6111111111111112,351,550,993,741,1440,900,0,0,0,0,0,0,1
1612448854204,0.34652777777777777,0.6322222222222222,499,569,1141,760,1440,900,0,0,0,0,0,0,1
1612448854254,0.34652777777777777,0.6322222222222222,499,569,1141,760,1440,900,0,0,0,0,0,0,1
1612448854305,0.34652777777777777,0.6322222222222222,499,569,1141,760,1440,900,0,0,0,0,0,0,1
1612448854408,0.34652777777777777,0.6322222222222222,499,569,1141,760,1440,900,0,0,0,0,0,0,1
1612448854457,0.34652777777777777,0.6322222222222222,499,569,1141,760,1440,900,0,0,0,0,0,0,1
1612448854508,0.34652777777777777,0.6322222222222222,499,569,1141,760,1440,900,0,0,0,0,0,0,1
1612448857604,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448857657,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448857707,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448857801,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448857854,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
1612448857905,0.19652777777777777,0.6044444444444445,283,544,925,735,1440,900,0,0,0,0,0,0,1
