timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448734483,0.29140625,0.5569444444444445,746,802,3039,1307,2560,1440,0,0,0,0,0,0,1,0
1612448734534,0.3078125,0.5361111111111111,788,772,3102,1262,2560,1440,0,0,0,1,0,0,0,0
1612448734585,0.325,0.5361111111111111,832,772,3168,1262,2560,1440,0,0,0,1,0,0,0,0
1612448734635,0.362109375,0.5618055555555556,927,809,3311,1318,2560,1440,0,0,0,0,0,0,1,0
1612448734686,0.39375,0.5805555555555556,1008,836,3432,1359,2560,1440,0,0,0,0,0,0,1,0
1612448734737,0.395703125,0.58125,1013,837,3440,1360,2560,1440,0,0,0,0,0,0,1,0
1612448734787,0.392578125,0.5805555555555556,1005,836,3428,1359,2560,1440,0,0,0,0,0,0,1,0
1612448734838,0.391796875,0.5798611111111112,1003,835,3425,1357,2560,1440,0,0,0,0,0,0,1,0
1612448734889,0.391796875,0.5770833333333333,1003,831,3425,1351,2560,1440,0,0,0,0,0,0,1,0
1612448734940,0.38984375,0.5715277777777777,998,823,3418,1339,2560,1440,0,0,0,0,0,0,1,0
1612448734993,0.36328125,0.5694444444444444,930,820,3316,1335,2560,1440,0,0,0,0,0,0,1,0
1612448735044,0.35859375,0.5694444444444444,918,820,3297,1335,2560,1440,0,0,0,0,0,0,1,0
1612448735095,0.35859375,0.5694444444444444,918,820,3298,1335,2560,1440,0,0,0,0,0,0,1,0
1612448738064,0.304296875,0.5694444444444444,779,820,3089,1334,2560,1440,0,0,0,1,0,0,0,0
1612448738138,0.30546875,0.56875,782,819,3094,1333,2560,1440,1,0,0,0,0,0,1,0
1612448738188,0.30859375,0.5680555555555555,790,818,3106,1331,2560,1440,0,0,0,0,0,0,1,0
1612448738238,0.31328125,0.5694444444444444,802,820,3123,1334,2560,1440,0,0,0,0,0,0,1,0
1612448738290,0.33203125,0.5722222222222222,850,824,3195,1341,2560,1440,0,0,0,0,0,0,1,0
1612448738340,0.33203125,0.5722222222222222,850,824,3195,1341,2560,1440,0,0,0,0,0,0,1,0
1612448739754,0.3109375,0.5666666666666667,796,816,3115,1329,2560,1440,1,0,0,1,0,0,0,0
1612448739805,0.311328125,0.5666666666666667,797,816,3116,1328,2560,1440,0,0,0,1,0,0,0,0
1612448739874,0.31171875,0.5659722222222222,798,815,3118,1327,2560,1440,1,0,0,0,0,0,1,0
1612448739925,0.31796875,0.5666666666666667,814,816,3142,1328,2560,1440,0,0,0,0,0,0,1,0
1612448739975,0.3234375,0.5666666666666667,828,816,3162,1328,2560,1440,0,0,0,0,0,0,1,0
1612448740026,0.3234375,0.5666666666666667,828,816,3162,1328,2560,1440,0,0,0,0,0,0,1,0
1612448742431,0.26875,0.5694444444444444,688,820,2952,1334,2560,1440,1,0,0,0,0,0,1,0
1612448742533,0.26875,0.5694444444444444,688,820,2952,1334,2560,1440,1,1,0,0,0,0,1,0
1612448742584,0.26875,0.5694444444444444,688,820,2952,1334,2560,1440,0,0,0,0,0,0,1,0
1612448742634,0.26875,0.5694444444444444,688,820,2952,1334,2560,1440,0,0,0,0,0,0,1,0
1612448742685,0.26875,0.5694444444444444,688,820,2952,1334,2560,1440,1,0,0,0,0,0,1,0
1612448742735,0.26875,0.5694444444444444,688,820,2952,1334,2560,1440,0,0,0,0,0,0,1,0
1612448742786,0.26875,0.5694444444444444,688,820,2952,1334,2560,1440,0,0,0,0,0,0,1,0
1612448742837,0.26875,0.5694444444444444,688,820,2952,1334,2560,1440,1,0,0,0,0,0,1,0
1612448742887,0.26875,0.5694444444444444,688,820,2952,1334,2560,1440,0,0,0,0,0,0,1,0
1612448742938,0.26875,0.5694444444444444,688,820,2952,1334,2560,1440,0,0,0,0,0,0,1,0
1612448742989,0.26875,0.5694444444444444,688,820,2952,1334,2560,1440,1,1,0,0,0,0,1,0
1612448743039,0.270703125,0.56875,693,819,2960,1333,2560,1440,0,0,0,0,0,0,1,0
1612448743090,0.2734375,0.5680555555555555,700,818,2971,1331,2560,1440,0,0,0,0,0,0,1,0
1612448743141,0.274609375,0.5673611111111111,703,817,2975,1330,2560,1440,0,0,0,0,0,0,1,0
1612448743192,0.274609375,0.5673611111111111,703,817,2975,1330,2560,1440,0,0,0,0,0,0,1,0
1612448743242,0.274609375,0.5673611111111111,703,817,2975,1330,2560,1440,0,0,0,0,0,0,1,0
1612448743293,0.275,0.5673611111111111,704,817,2976,1330,2560,1440,1,0,0,0,0,0,1,0
1612448743344,0.30078125,0.5673611111111111,770,817,3075,1330,2560,1440,0,0,0,0,0,0,1,0
1612448743394,0.35234375,0.5666666666666667,902,816,3273,1328,2560,1440,0,0,0,0,0,0,1,0
1612448743445,0.365234375,0.5652777777777778,935,814,3323,1326,2560,1440,0,0,0,0,0,0,1,0
1612448743547,0.3671875,0.5652777777777778,940,814,3330,1325,2560,1440,0,0,0,0,0,0,1,0
1612448743600,0.387890625,0.5652777777777778,993,814,3410,1326,2560,1440,0,0,0,0,0,0,1,0
1612448743651,0.38671875,0.5652777777777778,990,814,3405,1326,2560,1440,0,0,0,0,0,0,1,0
1612448743702,0.38515625,0.5666666666666667,986,816,3399,1328,2560,1440,0,0,0,0,0,0,1,0
1612448743753,0.38359375,0.5666666666666667,982,816,3394,1329,2560,1440,0,0,0,0,0,0,1,0
1612448743803,0.38359375,0.5666666666666667,982,816,3394,1329,2560,1440,0,0,0,0,0,0,1,0
1612448743854,0.38359375,0.5666666666666667,982,816,3394,1329,2560,1440,0,0,0,0,0,0,1,0
1612448743905,0.38359375,0.5666666666666667,982,816,3394,1329,2560,1440,0,0,0,0,0,0,1,0
1612448746548,0.291796875,0.5659722222222222,747,815,3041,1327,2560,1440,1,0,0,0,0,0,1,0
1612448746598,0.291796875,0.5659722222222222,747,815,3041,1327,2560,1440,0,0,0,0,0,0,1,0
1612448746649,0.291796875,0.5659722222222222,747,815,3041,1327,2560,1440,0,0,0,0,0,0,1,0
1612448746699,0.291796875,0.5659722222222222,747,815,3041,1327,2560,1440,1,1,0,0,0,0,1,0
1612448746749,0.291796875,0.5659722222222222,747,815,3041,1327,2560,1440,0,0,0,0,0,0,1,0
1612448746800,0.291796875,0.5659722222222222,747,815,3041,1327,2560,1440,1,0,0,0,0,0,1,0
1612448746851,0.291796875,0.5659722222222222,747,815,3041,1327,2560,1440,0,0,0,0,0,0,1,0
1612448746901,0.291796875,0.5659722222222222,747,815,3041,1327,2560,1440,0,0,0,0,0,0,1,0
1612448746952,0.291796875,0.5659722222222222,747,815,3041,1327,2560,1440,1,0,0,0,0,0,1,0
1612448747002,0.3,0.5652777777777778,768,814,3072,1326,2560,1440,0,0,0,0,0,0,1,0
1612448747053,0.351171875,0.5652777777777778,899,814,3269,1326,2560,1440,0,0,0,0,0,0,1,0
1612448747104,0.3734375,0.5680555555555555,956,818,3355,1332,2560,1440,0,0,0,0,0,0,1,0
1612448747154,0.371875,0.5673611111111111,952,817,3349,1330,2560,1440,0,0,0,0,0,0,1,0
1612448747205,0.3703125,0.56875,948,819,3343,1333,2560,1440,0,0,0,0,0,0,1,0
1612448747256,0.3703125,0.5694444444444444,948,820,3343,1334,2560,1440,0,0,0,0,0,0,1,0
1612448747306,0.370703125,0.5694444444444444,949,820,3344,1334,2560,1440,0,0,0,0,0,0,1,0
1612448747357,0.370703125,0.5694444444444444,949,820,3344,1334,2560,1440,0,0,0,0,0,0,1,0
1612448776644,0.30859375,0.5611111111111111,790,808,3105,1316,2560,1440,0,0,0,1,0,0,0,0
1612448776695,0.3078125,0.5625,788,810,3103,1320,2560,1440,0,0,0,0,0,0,1,0
1612448776745,0.30859375,0.5638888888888889,790,812,3106,1323,2560,1440,0,0,0,0,0,0,1,0
1612448776796,0.31796875,0.5652777777777778,814,814,3141,1326,2560,1440,0,0,0,0,0,0,1,0
1612448776846,0.325390625,0.5659722222222222,833,815,3170,1327,2560,1440,0,0,0,0,0,0,1,0
1612448776896,0.32578125,0.5666666666666667,834,816,3171,1329,2560,1440,0,0,0,0,0,0,1,0
1612448776947,0.32578125,0.5666666666666667,834,816,3171,1329,2560,1440,0,0,0,0,0,0,1,0
1612448778572,0.31015625,0.5659722222222222,794,815,3111,1327,2560,1440,1,0,0,0,0,0,1,0
1612448778622,0.31015625,0.5659722222222222,794,815,3111,1327,2560,1440,0,0,0,0,0,0,1,0
1612448778673,0.31015625,0.5659722222222222,794,815,3111,1327,2560,1440,0,0,0,0,0,0,1,0
1612448778723,0.3109375,0.5666666666666667,796,816,3115,1329,2560,1440,0,0,0,0,0,0,1,0
1612448778774,0.337890625,0.5673611111111111,865,817,3218,1330,2560,1440,1,1,0,0,0,0,1,0
1612448778824,0.3484375,0.5701388888888889,892,821,3259,1336,2560,1440,0,0,0,0,0,0,1,0
1612448778875,0.3484375,0.5708333333333333,892,822,3259,1337,2560,1440,0,0,0,0,0,0,1,0
1612448778925,0.34921875,0.5722222222222222,894,824,3261,1341,2560,1440,0,0,0,0,0,0,1,0
1612448778978,0.351953125,0.5694444444444444,901,820,3272,1335,2560,1440,0,0,0,0,0,0,1,0
1612448779028,0.352734375,0.5694444444444444,903,820,3275,1334,2560,1440,0,0,0,0,0,0,1,0
1612448779079,0.353125,0.5694444444444444,904,820,3276,1334,2560,1440,0,0,0,0,0,0,1,0
1612448779132,0.365234375,0.5694444444444444,935,820,3323,1334,2560,1440,1,0,0,0,0,0,1,0
1612448779182,0.366015625,0.5680555555555555,937,818,3326,1332,2560,1440,0,0,0,0,0,0,1,0
1612448779233,0.365625,0.5680555555555555,936,818,3324,1332,2560,1440,0,0,0,0,0,0,1,0
1612448779283,0.36171875,0.5673611111111111,926,817,3310,1330,2560,1440,0,0,0,0,0,0,1,0
1612448779334,0.36171875,0.5673611111111111,926,817,3310,1330,2560,1440,0,0,0,0,0,0,1,0
1612448779384,0.36171875,0.5673611111111111,926,817,3310,1330,2560,1440,0,0,0,0,0,0,1,0
1612448781390,0.305859375,0.5680555555555555,783,818,3095,1331,2560,1440,1,0,0,0,0,0,1,0
1612448781440,0.305859375,0.5680555555555555,783,818,3095,1331,2560,1440,0,0,0,0,0,0,1,0
1612448781491,0.306640625,0.5673611111111111,785,817,3098,1330,2560,1440,0,0,0,0,0,0,1,0
1612448781541,0.31640625,0.5666666666666667,810,816,3136,1329,2560,1440,0,0,0,0,0,0,1,0
1612448781591,0.327734375,0.5666666666666667,839,816,3179,1329,2560,1440,0,0,0,0,0,0,1,0
1612448781642,0.33203125,0.5659722222222222,850,815,3196,1327,2560,1440,0,0,0,0,0,0,1,0
1612448781693,0.33515625,0.5652777777777778,858,814,3207,1326,2560,1440,0,0,0,0,0,0,1,0
1612448781743,0.33515625,0.5652777777777778,858,814,3207,1326,2560,1440,0,0,0,0,0,0,1,0
1612448781794,0.33515625,0.5652777777777778,858,814,3207,1326,2560,1440,0,0,0,0,0,0,1,0
1612448791042,0.29921875,0.5666666666666667,766,816,3070,1328,2560,1440,0,0,0,0,0,0,1,0
1612448791113,0.2890625,0.5347222222222222,740,770,3030,1260,2560,1440,0,0,0,1,0,0,0,0
1612448791163,0.276953125,0.5,709,720,2984,1184,2560,1440,0,0,0,1,0,0,0,0
1612448791265,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791315,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791366,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791417,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791468,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791519,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791570,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791621,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791672,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791723,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791774,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791824,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791875,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791926,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448791977,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792028,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792079,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792130,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792180,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792282,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792333,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792384,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792434,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792485,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792536,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792587,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792638,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792689,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792740,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792791,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792841,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792892,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792943,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448792993,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793044,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793095,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793146,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793197,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793299,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793350,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793400,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793451,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793502,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793553,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793604,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
1612448793654,0.277734375,0.48680555555555555,711,701,2987,1156,2560,1440,0,0,0,1,0,0,0,0
