timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448769166,0.4195478723404255,0.5094715852442672,631,511,631,582,1504,1003,0,0,0,0,0,1,0,0
1612448769217,0.4175531914893617,0.5064805583250249,628,508,628,579,1504,1003,0,0,0,0,0,1,0,0
1612448769267,0.4162234042553192,0.5034895314057827,626,505,626,576,1504,1003,0,0,0,0,0,1,0,0
1612448769318,0.4142287234042553,0.5014955134596212,623,503,623,574,1504,1003,0,0,0,0,0,1,0,0
1612448769370,0.41356382978723405,0.4995014955134596,622,501,622,572,1504,1003,0,0,0,0,0,1,0,0
1612448769422,0.4122340425531915,0.4985044865403789,620,500,620,571,1504,1003,0,0,0,0,0,1,0,0
1612448769473,0.4115691489361702,0.4985044865403789,619,500,619,571,1504,1003,0,0,0,0,0,1,0,0
1612448769538,0.4115691489361702,0.4985044865403789,619,500,619,571,1504,1003,0,0,0,0,0,1,0,0
1612448769599,0.4115691489361702,0.4985044865403789,619,500,619,571,1504,1003,0,0,0,0,0,1,0,0
1612448769659,0.4115691489361702,0.4985044865403789,619,500,619,571,1504,1003,0,0,0,0,0,1,0,0
1612448769721,0.4115691489361702,0.4985044865403789,619,500,619,571,1504,1003,0,0,0,0,0,1,0,0
1612448769783,0.4115691489361702,0.4985044865403789,619,500,619,571,1504,1003,0,0,0,0,0,1,0,0
1612448769849,0.4115691489361702,0.4985044865403789,619,500,619,571,1504,1003,0,0,0,0,0,1,0,0
1612448769899,0.4115691489361702,0.4985044865403789,619,500,619,571,1504,1003,0,0,0,0,0,1,0,0
1612448769950,0.4115691489361702,0.4985044865403789,619,500,619,571,1504,1003,1,0,0,0,0,1,0,0
1612448770002,0.4115691489361702,0.4985044865403789,619,500,619,571,1504,1003,0,0,0,0,0,1,0,0
1612448770053,0.4115691489361702,0.49252243270189433,619,494,619,565,1504,1003,0,0,0,0,0,1,0,0
1612448770104,0.4115691489361702,0.48255234297108673,619,484,619,554,1504,1003,0,0,0,0,0,1,0,0
1612448770157,0.4115691489361702,0.4715852442671984,619,473,619,544,1504,1003,0,0,0,0,0,1,0,0
1612448770208,0.4122340425531915,0.4556331006979063,620,457,620,528,1504,1003,0,0,0,0,0,1,0,0
1612448770259,0.4122340425531915,0.4506480558325025,620,452,620,523,1504,1003,0,0,0,0,0,1,0,0
1612448770311,0.4122340425531915,0.44865403788634095,620,450,620,521,1504,1003,0,0,0,0,0,1,0,0
1612448770362,0.4122340425531915,0.44666001994017945,620,448,620,519,1504,1003,0,0,0,0,0,1,0,0
1612448770416,0.4109042553191489,0.4426719840478564,618,444,618,515,1504,1003,0,0,0,0,0,1,0,0
1612448770468,0.40824468085106386,0.43469591226321036,614,436,614,507,1504,1003,0,0,0,0,0,1,0,0
1612448770518,0.40757978723404253,0.4247258225324028,613,426,613,497,1504,1003,0,0,0,0,0,1,0,0
1612448770569,0.40757978723404253,0.42073778664007977,613,422,613,493,1504,1003,0,0,0,0,0,1,0,0
1612448770621,0.40757978723404253,0.4187437686939183,613,420,613,491,1504,1003,0,0,0,0,0,1,0,0
1612448770685,0.40757978723404253,0.4187437686939183,613,420,613,491,1504,1003,0,0,0,0,0,1,0,0
1612448770748,0.40757978723404253,0.4187437686939183,613,420,613,491,1504,1003,0,0,0,0,0,1,0,0
1612448770812,0.40757978723404253,0.4187437686939183,613,420,613,491,1504,1003,0,0,0,0,0,1,0,0
1612448770874,0.40757978723404253,0.4187437686939183,613,420,613,491,1504,1003,0,0,0,0,0,1,0,0
1612448770979,0.40757978723404253,0.4187437686939183,613,420,613,491,1504,1003,0,0,0,0,0,1,0,0
1612448771030,0.40757978723404253,0.4187437686939183,613,420,613,491,1504,1003,1,0,0,0,0,1,0,0
1612448771082,0.40757978723404253,0.4187437686939183,613,420,613,491,1504,1003,0,0,0,0,0,1,0,0
1612448771134,0.40757978723404253,0.4187437686939183,613,420,613,491,1504,1003,0,0,0,0,0,1,0,0
1612448771185,0.40757978723404253,0.4187437686939183,613,420,613,491,1504,1003,0,0,0,0,0,1,0,0
1612448771238,0.40757978723404253,0.4217347956131605,613,423,613,494,1504,1003,0,0,0,0,0,1,0,0
1612448771288,0.4308510638297872,0.46859421734795614,648,470,648,541,1504,1003,0,0,0,0,0,1,0,0
