timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448881848,0.35390625,0.5722222222222222,906,824,3280,1340,2560,1440,0,0,0,0,0,0,0,1
1612448881899,0.35390625,0.5722222222222222,906,824,3280,1340,2560,1440,0,0,0,0,0,0,0,1
1612448881949,0.35390625,0.5722222222222222,906,824,3280,1340,2560,1440,0,0,0,0,0,0,0,1
1612448882000,0.35390625,0.5722222222222222,906,824,3280,1340,2560,1440,0,0,0,0,0,0,0,1
1612448883316,0.343359375,0.5708333333333333,879,822,3239,1337,2560,1440,1,0,0,0,0,0,0,1
1612448883366,0.34375,0.5708333333333333,880,822,3240,1337,2560,1440,0,0,0,1,0,0,0,0
1612448883434,0.35234375,0.5701388888888889,902,821,3273,1336,2560,1440,0,0,0,0,0,0,0,1
1612448883484,0.35859375,0.5701388888888889,918,821,3297,1336,2560,1440,0,0,0,0,0,0,0,1
1612448883535,0.36171875,0.5694444444444444,926,820,3310,1335,2560,1440,0,0,0,0,0,0,0,1
1612448883586,0.36171875,0.5694444444444444,926,820,3310,1335,2560,1440,0,0,0,0,0,0,0,1
1612448883637,0.36171875,0.5694444444444444,926,820,3310,1335,2560,1440,0,0,0,0,0,0,0,1
1612448883687,0.36171875,0.5694444444444444,926,820,3310,1335,2560,1440,0,0,0,0,0,0,0,1
1612448884194,0.3453125,0.5701388888888889,884,821,3246,1336,2560,1440,0,0,0,0,0,0,0,1
1612448884274,0.3390625,0.5701388888888889,868,821,3223,1336,2560,1440,0,0,0,1,0,0,0,0
1612448884324,0.33203125,0.5701388888888889,850,821,3196,1336,2560,1440,0,0,0,0,0,0,0,1
1612448884375,0.32890625,0.5701388888888889,842,821,3184,1336,2560,1440,0,0,0,0,0,0,0,1
