timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448661969,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662021,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662071,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662124,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662179,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662233,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662288,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662340,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662392,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662443,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662601,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662655,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662710,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662761,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662815,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662870,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662922,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448662977,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663032,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663086,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663139,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,1,0,0,1,0,0,0
1612448663193,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663244,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,1,0,0,1,0,0,0
1612448663297,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663350,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663403,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663458,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663563,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663616,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663670,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663723,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663776,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663830,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663885,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663937,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448663988,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664040,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664094,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664149,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664204,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664255,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664306,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664361,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664413,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664464,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664625,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,1,0,0,1,0,0,0
1612448664675,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664729,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,1,0,0,1,0,0,0
1612448664783,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664835,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448664890,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,1,0,0,1,0,0,0
1612448664946,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,1,0,0,1,0,0,0
1612448664998,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665050,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,1,0,0,1,0,0,0
1612448665105,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,1,0,0,1,0,0,0
1612448665156,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665207,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665258,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665308,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665361,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665412,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665468,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665630,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665680,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665732,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665784,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665837,0.2548611111111111,0.6177777777777778,367,556,980,686,1440,900,0,0,0,0,1,0,0,0,0
1612448665889,0.2881944444444444,0.6333333333333333,415,570,1028,700,1440,900,0,0,0,0,1,0,0,0,0
1612448665940,0.30625,0.6466666666666666,441,582,1054,712,1440,900,0,0,0,0,1,0,0,0,0
1612448665990,0.3215277777777778,0.6555555555555556,463,590,1076,720,1440,900,0,0,0,0,1,0,0,0,0
1612448666041,0.3298611111111111,0.6611111111111111,475,595,1088,725,1440,900,0,0,0,0,1,0,0,0,0
1612448666091,0.33125,0.6822222222222222,477,614,1090,744,1440,900,0,0,0,1,0,0,0,0,0
1612448666142,0.32430555555555557,0.7111111111111111,467,640,1080,770,1440,900,0,0,0,1,0,0,0,0,0
1612448666195,0.32430555555555557,0.7266666666666667,467,654,1080,784,1440,900,0,0,0,0,0,0,0,1,0
1612448666246,0.3284722222222222,0.7355555555555555,473,662,1086,792,1440,900,0,0,0,0,0,0,0,1,0
1612448666298,0.32916666666666666,0.74,474,666,1087,796,1440,900,0,0,0,0,0,0,0,1,0
